Date,Close,High,Low,Open,Volume,Ticker
2024-09-05,402.79583740234375,407.44131080829675,400.56678553175374,402.0363656944642,14195500,MSFT
2024-09-06,396.1974792480469,405.02486305915306,395.3097834719027,403.4566466739337,19609500,MSFT
2024-09-09,400.16241455078125,403.0522719406784,396.6413094868822,401.6615826272171,15295100,MSFT
2024-09-10,408.5262451171875,410.62704280907684,402.1152829853601,402.6084339185776,19594300,MSFT
2024-09-11,417.24517822265625,418.1821469994098,403.9695325309428,409.8084532189213,19266900,MSFT
2024-09-12,421.1509094238281,421.5158363092752,414.0002206806835,417.51145302107784,17395700,MSFT
2024-09-13,424.69171142578125,425.914716092092,419.63197810212404,419.9969049719398,15874600,MSFT
2024-09-16,425.43145751953125,427.5914610863902,422.3542004104568,424.70160374609685,13834700,MSFT
2024-09-17,429.1892395019531,435.79747386739723,426.34868538784633,434.199669703098,18874200,MSFT
2024-09-18,424.9087219238281,430.05721907964937,424.5142071811442,429.04132931995406,18898000,MSFT
2024-09-19,432.6807861328125,435.452292084435,430.91529729082623,435.1860014052933,21706600,MSFT
2024-09-20,429.3076477050781,433.22326773049826,428.2720426762547,431.2309485866615,55167100,MSFT
2024-09-23,427.57177734375,430.48135010026584,424.4945200082598,428.33121902605126,15128900,MSFT
2024-09-24,423.29119873046875,427.4139334394583,420.2632446802758,427.0687217553129,17015800,MSFT
2024-09-25,426.19091796875,427.1870925626301,422.69943076362244,423.94215074360574,13396400,MSFT
2024-09-26,425.4018859863281,429.3372210826113,423.251754987828,429.1301061037402,14492000,MSFT
2024-09-27,422.1569519042969,425.9345052473445,421.61449786891575,425.60900874647825,14896100,MSFT
2024-09-30,424.4057312011719,424.5241127227398,419.54326964937644,422.34436366886086,16807300,MSFT
2024-10-01,414.92730712890625,422.61060658764677,413.0730549268391,422.58101873759426,19092900,MSFT
2024-10-02,411.4161682128906,417.02822913913116,411.00190811888234,416.7914961856054,16582300,MSFT
2024-10-03,410.8341979980469,413.8029462214933,408.61501874387466,411.90926344701154,13686400,MSFT
2024-10-04,410.3607482910156,414.00020455197927,409.28568287863294,412.51087911578094,19169700,MSFT
2024-10-07,403.9301452636719,411.39642881924686,403.39753373502316,410.30164800432675,20919800,MSFT
2024-10-08,409.0292663574219,409.966265233936,402.57887338489604,405.27145839926953,19229300,MSFT
2024-10-09,411.7415771484375,414.6215919010832,408.62485957486433,410.16348810998284,14974300,MSFT
2024-10-10,410.143798828125,411.63312440285347,407.49064417755886,409.54216908706456,13848400,MSFT
2024-10-11,410.61724853515625,411.4161507329335,407.58929422530787,410.4397214022164,14144900,MSFT
2024-10-14,413.3985900878906,418.2314633461143,411.80075573680847,412.0473312101826,16653100,MSFT
2024-10-15,413.0040588378906,416.69284850861214,409.57174739931537,416.3969398711013,18900200,MSFT
2024-10-16,410.4199523925781,410.65665522282575,404.85722518493617,409.4829836231505,15508900,MSFT
2024-10-17,411.0117492675781,416.7125733271007,409.89722324961605,416.57447660649984,14820000,MSFT
2024-10-18,412.4320373535156,413.90161766396704,410.5580696214905,411.4260201751563,17145300,MSFT
2024-10-21,413.04351806640625,413.22104518863654,408.08242059822123,410.4199513395574,14206100,MSFT
